# Nintendo Game Boy-family cartridge label-code catalogue
# Source: Game Boy hardware database by Gekkio and contributors
# Source URL: https://gbhwdb.gekkio.fi/static/export/cartridges.csv
# Retrieved: 2026-08-02
# Source SHA-256: 007ea8d8ac02448764b75eda7057314c952f19b7d0654d473cb3877c8e54e18f
# Changes: selected cartridge label code, ROM ID, game title, normalized release regions, and explicit game-language groups; removed duplicate observations; sorted
# License: CC-BY-SA-4.0; see README.md beside this resource
cartridge_code	rom_id	title	release_regions	game_languages
AGB-A2CP-EUR	AGB-A2CP-0	Castlevania - Aria of Sorrow (Europe) (En,Fr,De)	EUR	en,fr,de
AGB-A2NP-FAH	AGB-A2NP-0	Sonic Advance 2 (Europe) (En,Ja,Fr,De,Es,It)	EUR	en,ja,fr,de,es,it
AGB-A3AP-EUR	AGB-A3AP-0	Super Mario Advance 3 - Yoshi's Island (Europe) (En,Fr,De,Es,It)	EUR	en,fr,de,es,it
AGB-A5AP-EUR	AGB-A5AP-0	Bionicle - Matoran Adventures (USA, Europe) (En,Fr,De,Es,It,Nl,Sv,Da)	US,EUR	en,fr,de,es,it,nl,sv,da
AGB-A7HJ-JPN	AGB-A7HJ-0	Harry Potter to Himitsu no Heya (Japan)	JP	
AGB-A7KE-USA	AGB-A7KE-0	Kirby - Nightmare in Dream Land (USA)	US	
AGB-A7KP-EUR	AGB-A7KP-0	Kirby - Nightmare in Dream Land (Europe) (En,Fr,De,Es,It)	EUR	en,fr,de,es,it
AGB-A88P-EUR	AGB-A88P-0	Mario & Luigi - Superstar Saga (Europe) (En,Fr,De,Es,It)	EUR	en,fr,de,es,it
AGB-AA2P-EUR	AGB-AA2P-0	Super Mario Advance 2 - Super Mario World (Europe) (En,Fr,De,Es)	EUR	en,fr,de,es
AGB-AAMP-EUR-1	AGB-AAMP-0	Castlevania (Europe)	EUR	
AGB-AF5P-EUR	AGB-AF5P-0	Shining Force - Resurrection of the Dark Dragon (Europe) (En,Fr,De,Es,It)	EUR	en,fr,de,es,it
AGB-AFGP-EUR	AGB-AFGP-0	American Tail, An - Fievel's Gold Rush (Europe) (En,Fr,De,Es,It)	EUR	en,fr,de,es,it
AGB-AFTP-UKV	AGB-AFTP-0	F-14 Tomcat (USA, Europe)	US,EUR	
AGB-AFZP-EUR	AGB-AFZP-0	F-Zero - Maximum Velocity (USA, Europe)	US,EUR	
AGB-AGAP-EUR	AGB-AGAP-0	Gradius Advance (Europe)	EUR	
AGB-AGFF-FRA	AGB-AGFF-0	Golden Sun - L'Age Perdu (France)	FR	
AGB-AGPP-EUR	AGB-AGPP-0	No Rules - Get Phat (USA, Europe) (En,Fr,De,Es,It,Nl)	US,EUR	en,fr,de,es,it,nl
AGB-AGSF-FRA	AGB-AGSF-0	Golden Sun (France)	FR	
AGB-AH3P-EUR	AGB-AH3P-0	Hamtaro - Ham-Ham Heartbreak (Europe) (En,Fr,De,Es,It)	EUR	en,fr,de,es,it
AGB-AK8P-EUR	AGB-AK8P-0	Medabots AX - Metabee Ver. (Europe) (En,Fr,De,Es,It)	EUR	en,fr,de,es,it
AGB-AM8P-EUR	AGB-AM8P-0	Monster Force (Europe) (En,Fr,De,Es,It)	EUR	en,fr,de,es,it
AGB-AMAP-EUR-1	AGB-AMAP-0	Super Mario Advance (USA, Europe)	US,EUR	
AGB-AMKE-USA	AGB-AMKE-0	Mario Kart - Super Circuit (USA)	US	
AGB-AMKP-EUR	AGB-AMKP-0	Mario Kart - Super Circuit (Europe)	EUR	
AGB-AN8P-EUR	AGB-AN8P-0	Tales of Phantasia (Europe) (En,Fr,De,Es,It)	EUR	en,fr,de,es,it
AGB-AO4P-EUR	AGB-AO4P-0	Tom Clancy's Splinter Cell (Europe) (En,Fr,De,Es,It,Nl)	EUR	en,fr,de,es,it,nl
AGB-APXP-EUR	AGB-APXP-0	Phalanx (Europe) (En,Fr,De,Es,It,Nl)	EUR	en,fr,de,es,it,nl
AGB-AQPF-FRA	AGB-AQPF-0	Disney Princesse (France)	FR	
AGB-AREP-EUR	AGB-AREP-0	Megaman - Battle Network (Europe)	EUR	
AGB-ASIP-EUR	AGB-ASIP-0	Sims, The - Bustin' Out (USA, Europe) (En,Fr,De,Es,It,Nl)	US,EUR	en,fr,de,es,it,nl
AGB-ASOP-FRA	AGB-ASOP-0	Sonic Advance (Europe) (En,Ja,Fr,De,Es)	EUR	en,ja,fr,de,es
AGB-ASOP-UKV	AGB-ASOP-0	Sonic Advance (Europe) (En,Ja,Fr,De,Es)	EUR	en,ja,fr,de,es
AGB-AU2P-EUR	AGB-AU2P-0	Shining Soul II (Europe) (En,Fr,De,Es,It)	EUR	en,fr,de,es,it
AGB-AVSX-EUR	AGB-AVSX-0	Sword of Mana (Europe) (Fr,De)	EUR	fr,de
AGB-AW2P-EUR	AGB-AW2P-0	Advance Wars 2 - Black Hole Rising (Europe) (En,Fr,De,Es,It)	EUR	en,fr,de,es,it
AGB-AWAP-EUR	AGB-AWAP-0	Wario Land 4 (USA, Europe)	US,EUR	
AGB-AX3F-FRA	AGB-AX3F-0	xXx (France)	FR	
AGB-AX4E-USA	AGB-AX4E-1	Super Mario Advance 4 - Super Mario Bros. 3 (USA, Australia) (Rev 1)	US,AU	
AGB-AX4P-EUR	AGB-AX4P-1	Super Mario Advance 4 - Super Mario Bros. 3 (Europe) (En,Fr,De,Es,It) (Rev 1)	EUR	en,fr,de,es,it
AGB-AXPE-USA	AGB-AXPE-0	Pokemon - Sapphire Version (USA, Europe)	US,EUR	
AGB-AXPE-USA	AGB-AXPE-1	Pokemon - Sapphire Version (USA, Europe) (Rev 1)	US,EUR	
AGB-AXPE-USA	AGB-AXPE-2	Pokemon - Sapphire Version (USA, Europe) (Rev 2)	US,EUR	
AGB-AXPF-FRA	AGB-AXPF-0	Pokemon - Version Saphir (France)	FR	
AGB-AXPJ-JPN	AGB-AXPJ-0	Pocket Monsters - Sapphire (Japan)	JP	
AGB-AXPJ-JPN	AGB-AXPJ-1	Pocket Monsters - Sapphire (Japan) (Rev 1)	JP	
AGB-AXPS-ESP	AGB-AXPS-1	Pokemon - Edicion Zafiro (Spain) (Rev 1)	ES	
AGB-AXQF-FRA	AGB-AXQF-0	Taxi 3 (France)	FR	
AGB-AXVE-USA	AGB-AXVE-0	Pokemon - Ruby Version (USA, Europe)	US,EUR	
AGB-AXVF-FRA	AGB-AXVF-0	Pokemon - Version Rubis (France)	FR	
AGB-AXVJ-JPN	AGB-AXVJ-0	Pocket Monsters - Ruby (Japan)	JP	
AGB-AXVS-ESP	AGB-AXVS-0	Pokemon - Edicion Rubi (Spain)	ES	
AGB-AXYP-EUR	AGB-AXYP-0	SSX Tricky (USA, Europe) (En,Fr,De)	US,EUR	en,fr,de
AGB-AY7E-USA	AGB-AY7E-0	Yu-Gi-Oh! - The Sacred Cards (USA)	US	
AGB-AYCP-EUR	AGB-AYCP-0	Phantasy Star Collection (Europe)	EUR	
AGB-AYDP-EUR	AGB-AYDP-0	Yu-Gi-Oh! - Dungeon Dice Monsters (Europe) (En,Fr,De,Es,It)	EUR	en,fr,de,es,it
AGB-AYZP-EUR	AGB-AYZP-0	Rayman 3 (Europe) (En,Fr,De,Es,It,Nl,Sv,No,Da,Fi)	EUR	en,fr,de,es,it,nl,sv,no,da,fi
AGB-AZ2E-USA	AGB-AZ2E-0	Zoids - Legacy (USA)	US	
AGB-AZEP-EUR	AGB-AZEP-0	Zone of the Enders - The Fist of Mars (Europe) (En,Fr,De)	EUR	en,fr,de
AGB-AZIX-EUR	AGB-AZIX-0	Finding Nemo (Europe) (Fr,Nl)	EUR	fr,nl
AGB-AZLE-USA	AGB-AZLE-0	Legend of Zelda, The - A Link to the Past & Four Swords (USA)	US	
AGB-AZLP-EUR	AGB-AZLP-0	Legend of Zelda, The - A Link to the Past & Four Swords (Europe) (En,Fr,De,Es,It)	EUR	en,fr,de,es,it
AGB-AZWP-EUR	AGB-AZWP-0	WarioWare, Inc. - Minigame Mania (Europe) (En,Fr,De,Es,It)	EUR	en,fr,de,es,it
AGB-B24E-USA	AGB-B24E-0	Pokemon Mystery Dungeon - Red Rescue Team (USA, Australia)	US,AU	
AGB-B24P-EUR	AGB-B24P-0	Pokemon Mystery Dungeon - Red Rescue Team (Europe) (En,Fr,De,Es,It)	EUR	en,fr,de,es,it
AGB-B2BP-EUR	AGB-B2BP-0	2 Games in 1 - The SpongeBob SquarePants Movie + SpongeBob SquarePants and Friends in Freeze Frame Frenzy (Europe) (En,Fr,De,Es,It,Nl+En,Fr,De,Es,Nl)	EUR	en,fr,de,es,it,nl+en,fr,de,es,nl
AGB-B2LP-EUR	AGB-B2LP-0	Totally Spies! 2 - Undercover (Europe) (En,Fr,De,Es,It,Nl)	EUR	en,fr,de,es,it,nl
AGB-B3SP-EUR	AGB-B3SP-0	Sonic Advance 3 (Europe) (En,Ja,Fr,De,Es,It)	EUR	en,ja,fr,de,es,it
AGB-B8KP-EUR	AGB-B8KP-0	Kirby & The Amazing Mirror (Europe) (En,Fr,De,Es,It)	EUR	en,fr,de,es,it
AGB-B8ME-USA	AGB-B8ME-0	Mario Party Advance (USA)	US	
AGB-BAUE-USA	AGB-BAUE-0	Barbie - The Princess and the Pauper (USA)	US	
AGB-BBRX-EUR	AGB-BBRX-0	Brother Bear (Europe) (Fr,De,Es,It,Nl,Sv,Da)	EUR	fr,de,es,it,nl,sv,da
AGB-BCAX-FAH	AGB-BCAX-0	Cars (Europe) (Fr,Nl)	EUR	fr,nl
AGB-BCRP-EUR	AGB-BCRP-0	Crazy Frog Racer (Europe) (En,Fr,De,Nl)	EUR	en,fr,de,nl
AGB-BDVP-EUR	AGB-BDVP-0	Dragon Ball - Advanced Adventure (Europe) (En,Fr,De,Es,It)	EUR	en,fr,de,es,it
AGB-BE8P-EUR	AGB-BE8P-0	Fire Emblem - The Sacred Stones (Europe) (En,Fr,De,Es,It)	EUR	en,fr,de,es,it
AGB-BFKP-EUR	AGB-BFKP-2	Franklin the Turtle (Europe) (En,Fr,De,Es,It,Sv,No,Da,Fi) (Rev 2)	EUR	en,fr,de,es,it,sv,no,da,fi
AGB-BFZP-EUR	AGB-BFZP-0	F-Zero - GP Legend (Europe) (En,Fr,De,Es,It)	EUR	en,fr,de,es,it
AGB-BG7E-USA	AGB-BG7E-0	Games Explosion! (USA)	US	
AGB-BGTP-EUR	AGB-BGTP-0	Grand Theft Auto (Europe) (En,Fr,De,Es,It)	EUR	en,fr,de,es,it
AGB-BGZX-EUR	AGB-BGZX-0	Madagascar (Europe) (Fr,De,Pt)	EUR	fr,de,pt
AGB-BH3E-USA	AGB-BH3E-0	Happy Feet (USA) (En,Fr)	US	en,fr
AGB-BH3P-EUR	AGB-BH3P-0	Happy Feet (Europe) (En,Fr,De,Es,It)	EUR	en,fr,de,es,it
AGB-BH8P-EUR	AGB-BH8P-0	Harry Potter and the Goblet of Fire (USA, Europe) (En,Fr,De,Es,It,Nl,Da)	US,EUR	en,fr,de,es,it,nl,da
AGB-BHTP-EUR	AGB-BHTP-0	Harry Potter and the Prisoner of Azkaban (USA, Europe) (En,Fr,De,Es,It,Nl,Da)	US,EUR	en,fr,de,es,it,nl,da
AGB-BICD-NOE	AGB-BICD-0	Unglaublichen, Die (Germany)	DE	
AGB-BKMP-EUR	AGB-BKMP-0	Kim Possible 2 - Drakken's Demise (Europe) (En,Fr,De,Es)	EUR	en,fr,de,es
AGB-BL7E-USA	AGB-BL7E-0	LEGO Star Wars II - The Original Trilogy (USA)	US	
AGB-BLPF-FRA	AGB-BLPF-0	2 Games in 1 - Disney Princesse + Le Roi Lion (France) (Fr+En,Fr,De,Es,It,Nl,Sv,Da)	FR	fr+en,fr,de,es,it,nl,sv,da
AGB-BLXP-FAH	AGB-BLXP-0	Asterix & Obelix XXL (Europe) (En,Fr,De,Es,It,Nl)	EUR	en,fr,de,es,it,nl
AGB-BM9J-JPN	AGB-BM9J-0	MAER Heaven - Knockin' on Heaven's Door (Japan)	JP	
AGB-BMXP-EUR	AGB-BMXP-0	Metroid - Zero Mission (Europe) (En,Fr,De,Es,It)	EUR	en,fr,de,es,it
AGB-BNKP-FRA	AGB-BNKP-0	Noddy - A Day in Toyland (Europe) (En,Fr,Es,It,Nl,Pt,Da)	EUR	en,fr,es,it,nl,pt,da
AGB-BNSP-EUR	AGB-BNSP-0	Need for Speed - Underground (USA, Europe) (En,Fr,De,It)	US,EUR	en,fr,de,it
AGB-BNWP-EUR	AGB-BNWP-0	Need for Speed - Most Wanted (USA, Europe) (En,Fr,De,It)	US,EUR	en,fr,de,it
AGB-BP9E-USA	AGB-BP9E-0	World Championship Poker (USA)	US	
AGB-BPED-NOE	AGB-BPED-0	Pokemon - Smaragd-Edition (Germany)	DE	
AGB-BPEE-USA	AGB-BPEE-0	Pokemon - Emerald Version (USA, Europe)	US,EUR	
AGB-BPEF-FRA	AGB-BPEF-0	Pokemon - Version Emeraude (France)	FR	
AGB-BPEJ-JPN	AGB-BPEJ-0	Pocket Monsters - Emerald (Japan)	JP	
AGB-BPES-ESP	AGB-BPES-0	Pokemon - Edicion Esmeralda (Spain)	ES	
AGB-BPGE-USA	AGB-BPGE-1	Pokemon - LeafGreen Version (USA, Europe) (Rev 1)	US,EUR	
AGB-BPGF-FRA	AGB-BPGF-0	Pokemon - Version Vert Feuille (France)	FR	
AGB-BPGJ-JPN	AGB-BPGJ-0	Pocket Monsters - LeafGreen (Japan)	JP	
AGB-BPGS-ESP	AGB-BPGS-0	Pokemon - Edicion Verde Hoja (Spain)	ES	
AGB-BPRE-USA	AGB-BPRE-1	Pokemon - FireRed Version (USA, Europe) (Rev 1)	US,EUR	
AGB-BPRF-FRA	AGB-BPRF-0	Pokemon - Version Rouge Feu (France)	FR	
AGB-BPRJ-JPN	AGB-BPRJ-0	Pocket Monsters - FireRed (Japan)	JP	
AGB-BPRS-ESP	AGB-BPRS-0	Pokemon - Edicion Rojo Fuego (Spain)	ES	
AGB-BPTP-EUR	AGB-BPTP-0	Peter Pan - The Motion Picture Event (Europe) (En,Fr,De,Es,It)	EUR	en,fr,de,es,it
AGB-BQQX-EUR	AGB-BQQX-0	SpongeBob SquarePants - Lights, Camera, Pants! (Europe) (En,Fr,De,Es,It,Nl,Sv)	EUR	en,fr,de,es,it,nl,sv
AGB-BR3P-EUR	AGB-BR3P-0	R-Type III - The Third Lightning (Europe) (En,Fr,De,Es,It)	EUR	en,fr,de,es,it
AGB-BR4J-JPN	AGB-BR4J-0	Rockman EXE 4.5 - Real Operation (Japan)	JP	
AGB-BRKP-UKV	AGB-BRKP-0	Megaman - Battle Network 5 - Team Colonel (Europe)	EUR	
AGB-BRQP-UKV	AGB-BRQP-0	3 Games in One - Darts + Roll-a-Ball + Shuffle Bowl (Europe)	EUR	
AGB-BS7P-EUR	AGB-BS7P-0	2 in 1 Game Pack - Shrek 2 & Shark Tale (Europe) (En,Fr,De,Es,It,Sv+En,Fr,De,Es,It)	EUR	en,fr,de,es,it,sv+en,fr,de,es,it
AGB-BUYP-EUR	AGB-BUYP-0	Ant Bully, The (Europe) (En,Fr,De,Es,It)	EUR	en,fr,de,es,it
AGB-BVCJ-JPN	AGB-BVCJ-0	bit Generations - Dotstream (Japan) (En)	JP	en
AGB-BWIE-USA	AGB-BWIE-0	WinX Club (USA)	US	
AGB-BXKP-EUR	AGB-BXKP-0	Castlevania Double Pack (Europe) (En,Fr,De)	EUR	en,fr,de
AGB-BZ6E-USA	AGB-BZ6E-0	Final Fantasy VI Advance (USA)	US	
AGB-BZMP-EUR	AGB-BZMP-0	Legend of Zelda, The - The Minish Cap (Europe) (En,Fr,De,Es,It)	EUR	en,fr,de,es,it
AGB-FADP-EUR	AGB-FADP-0	NES Classics - Castlevania (Europe)	EUR	
AGB-FBMP-EUR	AGB-FBMP-0	Classic NES Series - Bomberman (USA, Europe)	US,EUR	
AGB-FICP-EUR	AGB-FICP-0	Classic NES Series - Ice Climber (USA, Europe)	US,EUR	
AGB-FLBP-EUR	AGB-FLBP-0	Classic NES Series - Zelda II - The Adventure of Link (USA, Europe)	US,EUR	
AGB-FSMP-EUR	AGB-FSMP-0	Classic NES Series - Super Mario Bros. (USA, Europe)	US,EUR	
AGB-FZLP-EUR	AGB-FZLP-0	Classic NES Series - The Legend of Zelda (USA, Europe)	US,EUR	
AGB-KYGP-EUR	AGB-KYGP-0	Yoshi's Universal Gravitation (Europe) (En,Fr,De,Es,It)	EUR	en,fr,de,es,it
AGB-U32P-EUR-1	AGB-U32P-0	Boktai 2 - Solar Boy Django (Europe) (En,Fr,De,Es,It)	EUR	en,fr,de,es,it
AGB-U33J-JPN	AGB-U33J-0	Shin Bokura no Taiyou - Gyakushuu no Sabata (Japan)	JP	
AGB-U3IP-EUR	AGB-U3IP-0	Boktai - The Sun Is in Your Hand (Europe) (En,Fr,De,Es,It)	EUR	en,fr,de,es,it
AGB-V49E-USA	AGB-V49E-0	Drill Dozer (USA)	US	
AGP-BPPP-EUR	AGB-BPPP-0	Pokemon Pinball - Ruby & Sapphire (Europe) (En,Fr,De,Es,It)	EUR	en,fr,de,es,it
CGB-AAUK-KOR	CGB-AAUK-0	Pocket Monsters Geum (Korea)	KR	
CGB-AAXK-KOR	CGB-AAXK-0	Pocket Monsters Eun (Korea)	KR	
CGB-AFIP-AUS	CGB-AFIP-0	F-1 World Grand Prix (Europe) (En,Fr,De,Es)	EUR	en,fr,de,es
CGB-AHYE-USA	CGB-AHYE-0	Super Mario Bros. Deluxe (USA, Europe)	US,EUR	
CGB-AHYE-USA-1	CGB-AHYE-1	Super Mario Bros. Deluxe (USA, Europe) (Rev 1)	US,EUR	
CGB-AHYP-EUR-4	CGB-AHYP-2	Super Mario Bros. Deluxe (Europe) (Rev 2)	EUR	
CGB-AJUP-EUR	CGB-AJUP-0	Jeremy McGrath Supercross 2000 (USA, Europe)	US,EUR	
CGB-ALMP-FRA	CGB-ALMP-0	Looney Tunes Collector - Martian Alert! (Europe) (En,Fr,De,Es,It,Nl)	EUR	en,fr,de,es,it,nl
CGB-ALQP-FAH	CGB-ALQP-0	Lucky Luke (Europe) (En,Fr,De,Es)	EUR	en,fr,de,es
CGB-AOVP-EUR	CGB-AOVP-0	Pong - The Next Level (USA, Europe)	US,EUR	
CGB-AQOP-EUR	CGB-AQOP-0	Ready 2 Rumble Boxing (Europe)	EUR	
CGB-AQOP-EUU	CGB-AQOP-0	Ready 2 Rumble Boxing (Europe)	EUR	
CGB-ASNP-EUR	CGB-ASNP-0	Smurfs Nightmare, The (Europe) (En,Fr,De,Es)	EUR	en,fr,de,es
CGB-AT8E-USA	CGB-AT8E-0	Micro Machines 1 and 2 - Twin Turbo (USA, Europe)	US,EUR	
CGB-AT9P-EUR-1	CGB-AT9P-0	Tomb Raider (USA, Europe) (En,Fr,De,Es,It)	US,EUR	en,fr,de,es,it
CGB-ATHD-NOE	CGB-ATHD-0	Tarzan (Germany)	DE	
CGB-ATHE-USA	CGB-ATHE-0	Tarzan (USA, Europe)	US,EUR	
CGB-ATQP-EUR	CGB-ATQP-0	Tonka Raceway (Europe)	EUR	
CGB-AVYP-FAH	CGB-AVYP-0	V-Rally - Championship Edition (Europe) (En,Fr,De,Es)	EUR	en,fr,de,es
CGB-AW8A-EUR	CGB-AW8A-0	Wario Land 3 (World) (En,Ja)	JP,US,EUR	en,ja
CGB-AW8A-JPN	CGB-AW8A-0	Wario Land 3 (World) (En,Ja)	JP,US,EUR	en,ja
CGB-AW8A-USA	CGB-AW8A-0	Wario Land 3 (World) (En,Ja)	JP,US,EUR	en,ja
CGB-AXJP-EUR	CGB-AXJP-0	Magical Drop (Europe) (En,Fr,De)	EUR	en,fr,de
CGB-AYQE-USA	CGB-AYQE-0	Rayman (USA) (En,Fr,De,Es,It,Nl)	US	en,fr,de,es,it,nl
CGB-AYQP-EUR	CGB-AYQP-0	Rayman (Europe) (En,Fr,De,Es,It,Nl)	EUR	en,fr,de,es,it,nl
CGB-AZ7J-JPN	CGB-AZ7J-0	Zelda no Densetsu - Fushigi no Kinomi - Daichi no Shou (Japan)	JP	
CGB-AZ7P-EUR	CGB-AZ7P-0	Legend of Zelda, The - Oracle of Seasons (Europe) (En,Fr,De,Es,It)	EUR	en,fr,de,es,it
CGB-AZ8J-JPN	CGB-AZ8J-0	Zelda no Densetsu - Fushigi no Kinomi - Jikuu no Shou (Japan)	JP	
CGB-AZ8P-EUR	CGB-AZ8P-0	Legend of Zelda, The - Oracle of Ages (Europe) (En,Fr,De,Es,It)	EUR	en,fr,de,es,it
CGB-AZRP-EUU	CGB-AZRP-0	Mask of Zorro, The (Europe)	EUR	
CGB-B2XE-USA	CGB-B2XE-0	Mega Man Xtreme 2 (USA, Europe)	US,EUR	
CGB-B2XP-EUR	CGB-B2XP-0	Mega Man Xtreme 2 (USA, Europe)	US,EUR	
CGB-B3OP-EUR	CGB-B3OP-0	SnowCross (Europe) (En,Fr,De,Es,It,Pt)	EUR	en,fr,de,es,it,pt
CGB-B4QP-UKV	CGB-B4QP-1	Monsters, Inc. (Europe) (Rev 1)	EUR	
CGB-B82J-JPN	CGB-B82J-0	Densha de Go! 2 (Japan)	JP	
CGB-B86J-JPN	CGB-B86J-0	Tottoko Hamutarou 2 - Hamu-chan Zu Daishuugou Dechu (Japan)	JP	
CGB-B9AJ-JPN	CGB-B9AJ-0	Mobile Trainer (Japan)	JP	
CGB-BBHF-FRA	CGB-BBHF-0	Powerpuff Girls, The - Bulle Contre Lui (France)	FR	
